"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"","null","html-keyboard-response","56","2.0.0","119485","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","57","2.0.0","121489","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Eholepunch1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","58","2.0.0","121991","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","793","image-keyboard-response","59","2.0.0","123994","p6labg5etft","flamingo"," ","stimuli\STATE\USED\Spestle1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","60","2.0.0","124496","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","61","2.0.0","126500","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Eballoon1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","62","2.0.0","127001","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","63","2.0.0","129005","p6labg5etft","flamingo","null","stimuli\STATE\USED\Shandsign2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","64","2.0.0","129508","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","65","2.0.0","131511","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ebread1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","66","2.0.0","132014","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","67","2.0.0","134016","p6labg5etft","flamingo","null","stimuli\STATE\USED\Spotpan2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","68","2.0.0","134519","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","69","2.0.0","136522","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Etrowel2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","70","2.0.0","137025","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","71","2.0.0","139028","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sscanner1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","72","2.0.0","139530","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","73","2.0.0","141533","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Eremover2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","74","2.0.0","142036","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","75","2.0.0","144038","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sdrum1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","76","2.0.0","144541","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","77","2.0.0","146543","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Eturtle1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","78","2.0.0","147046","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","79","2.0.0","149049","p6labg5etft","flamingo","null","stimuli\STATE\USED\Shandshake1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","80","2.0.0","149551","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","81","2.0.0","151555","p6labg5etft","flamingo","null","stimuli\STATE\USED\Schinesefoodbox1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","82","2.0.0","152058","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","83","2.0.0","154059","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Echocolatebar1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","84","2.0.0","154562","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","85","2.0.0","156565","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Elog2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","86","2.0.0","157067","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","87","2.0.0","159070","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sbrie1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","88","2.0.0","159573","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","1013","image-keyboard-response","89","2.0.0","161577","p6labg5etft","flamingo"," ","stimuli\STATE\USED\Schinesefoodbox1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","90","2.0.0","162080","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","91","2.0.0","164082","p6labg5etft","flamingo","null","stimuli\STATE\USED\Spolarbear2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","92","2.0.0","164585","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","93","2.0.0","166588","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ebracelet1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","94","2.0.0","167090","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","95","2.0.0","169092","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Escroll2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","96","2.0.0","169595","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","97","2.0.0","171597","p6labg5etft","flamingo","null","stimuli\STATE\USED\Slockbox1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","98","2.0.0","172100","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","99","2.0.0","174103","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Emedal2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","100","2.0.0","174606","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","749","image-keyboard-response","101","2.0.0","176609","p6labg5etft","flamingo"," ","stimuli\EXEMPLAR\USED\Ebracelet1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","102","2.0.0","177112","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","103","2.0.0","179115","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sphoneold1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","104","2.0.0","179617","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","105","2.0.0","181620","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sjuiceglass1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","106","2.0.0","182123","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","2689","html-button-response","107","2.0.0","184814","p6labg5etft","flamingo","0","Are you still there?","","","","","Attention Check","","","","","",""
"","null","image-keyboard-response","108","2.0.0","186817","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sscissors2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","109","2.0.0","187320","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","110","2.0.0","189323","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ebunny1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","111","2.0.0","189825","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","112","2.0.0","191827","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ebrick1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","113","2.0.0","192330","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","114","2.0.0","194334","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Epotatochips1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","115","2.0.0","194837","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","116","2.0.0","196840","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Esunglasses2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","117","2.0.0","197343","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","118","2.0.0","199346","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sbureau2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","119","2.0.0","199848","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","120","2.0.0","201849","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sschoolbag1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","121","2.0.0","202353","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","122","2.0.0","204356","p6labg5etft","flamingo","null","stimuli\STATE\USED\Shandmirror2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","123","2.0.0","204858","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","124","2.0.0","206861","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sbook1.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","125","2.0.0","207363","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","126","2.0.0","209367","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Egame1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","127","2.0.0","209870","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","128","2.0.0","211872","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Estarfish1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","129","2.0.0","212376","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","130","2.0.0","214379","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Etoykeys2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","131","2.0.0","214880","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","132","2.0.0","216883","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ehoe2.jpg","","","","","Memory","false","null","","","",""
